Classification; Confidence; Direction; Speed in km/h; Time
Leichtes Nutzfahrzeug;9;Richtung B nach A;45;01.05.2020 00:19
LKW mit Anhänger;6;Richtung A nach B;45;01.05.2020 00:31
LKW;4;Richtung A nach B;43;01.05.2020 00:53
PKW;7;Richtung B nach A;42;01.05.2020 01:28
PKW;9;Richtung B nach A;25;01.05.2020 02:04
PKW;8;Richtung B nach A;39;01.05.2020 03:35
PKW;9;Richtung B nach A;32;01.05.2020 03:54
PKW;9;Richtung A nach B;36;01.05.2020 04:02
PKW;9;Richtung B nach A;30;01.05.2020 04:03
PKW;8;Richtung B nach A;38;01.05.2020 04:06
Zweirad;9;Richtung B nach A;33;01.05.2020 05:27
PKW;8;Richtung A nach B;42;01.05.2020 05:27
PKW;8;Richtung B nach A;37;01.05.2020 06:00
LKW mit Anhänger;7;Richtung A nach B;35;01.05.2020 06:48
LKW mit Anhänger;7;Richtung B nach A;37;01.05.2020 06:50
PKW;9;Richtung A nach B;33;01.05.2020 06:58
PKW;9;Richtung B nach A;46;01.05.2020 07:09
PKW;8;Richtung A nach B;40;01.05.2020 07:14
PKW;9;Richtung A nach B;38;01.05.2020 07:16
PKW;9;Richtung A nach B;40;01.05.2020 07:16
PKW;8;Richtung A nach B;46;01.05.2020 07:23
PKW;9;Richtung A nach B;40;01.05.2020 07:27
PKW;8;Richtung B nach A;44;01.05.2020 07:34
PKW;8;Richtung B nach A;40;01.05.2020 07:42
LKW;8;Richtung B nach A;48;01.05.2020 07:43
PKW;8;Richtung A nach B;45;01.05.2020 07:45
PKW;9;Richtung B nach A;38;01.05.2020 07:59
Zweirad;0;Richtung B nach A;50;01.05.2020 08:07
PKW;8;Richtung A nach B;41;01.05.2020 08:11
PKW;8;Richtung B nach A;38;01.05.2020 08:19
Leichtes Nutzfahrzeug;9;Richtung B nach A;47;01.05.2020 08:38
LKW;5;Richtung B nach A;42;01.05.2020 08:44
LKW mit Anhänger;4;Richtung A nach B;40;01.05.2020 08:47
PKW;8;Richtung B nach A;41;01.05.2020 08:57
Zweirad;9;Richtung A nach B;23;01.05.2020 09:19
LKW;9;Richtung B nach A;37;01.05.2020 09:22
LKW;8;Richtung A nach B;44;01.05.2020 09:39
Zweirad;8;Richtung A nach B;39;01.05.2020 09:56
LKW mit Anhänger;7;Richtung A nach B;43;01.05.2020 09:56
LKW;8;Richtung A nach B;35;01.05.2020 10:08
Leichtes Nutzfahrzeug;9;Richtung B nach A;40;01.05.2020 10:16
Zweirad;8;Richtung A nach B;54;01.05.2020 10:21
LKW mit Anhänger;6;Richtung A nach B;40;01.05.2020 10:22
LKW;9;Richtung B nach A;39;01.05.2020 10:23
Leichtes Nutzfahrzeug;7;Richtung A nach B;44;01.05.2020 10:33
Zweirad;9;Richtung A nach B;40;01.05.2020 10:35
PKW;8;Richtung A nach B;42;01.05.2020 10:42
PKW;9;Richtung A nach B;37;01.05.2020 10:42
PKW;8;Richtung A nach B;47;01.05.2020 10:50
LKW;8;Richtung B nach A;45;01.05.2020 11:05
PKW;10;Richtung B nach A;40;01.05.2020 11:05
PKW;8;Richtung A nach B;44;01.05.2020 11:09
Zweirad;10;Richtung A nach B;22;01.05.2020 11:11
LKW;8;Richtung B nach A;40;01.05.2020 11:22
Leichtes Nutzfahrzeug;9;Richtung B nach A;38;01.05.2020 11:29
Zweirad;4;Richtung A nach B;48;01.05.2020 11:35
PKW;7;Richtung B nach A;39;01.05.2020 11:36
LKW mit Anhänger;7;Richtung A nach B;37;01.05.2020 11:39
Zweirad;4;Richtung A nach B;43;01.05.2020 11:39
Zweirad;9;Richtung B nach A;30;01.05.2020 11:49
PKW;9;Richtung B nach A;32;01.05.2020 11:50
LKW;8;Richtung B nach A;40;01.05.2020 12:22
LKW;9;Richtung A nach B;41;01.05.2020 12:34
Zweirad;9;Richtung A nach B;33;01.05.2020 12:37
PKW;9;Richtung B nach A;43;01.05.2020 12:38
PKW;10;Richtung B nach A;34;01.05.2020 12:39
Zweirad;9;Richtung B nach A;30;01.05.2020 12:40
Leichtes Nutzfahrzeug;9;Richtung B nach A;45;01.05.2020 12:41
PKW;10;Richtung B nach A;37;01.05.2020 12:47
PKW;8;Richtung B nach A;41;01.05.2020 12:49
PKW;9;Richtung B nach A;38;01.05.2020 12:49
PKW;9;Richtung B nach A;42;01.05.2020 12:51
Leichtes Nutzfahrzeug;9;Richtung B nach A;37;01.05.2020 13:03
Zweirad;9;Richtung A nach B;29;01.05.2020 13:10
LKW mit Anhänger;8;Richtung A nach B;52;01.05.2020 13:10
PKW;9;Richtung B nach A;41;01.05.2020 13:11
PKW;9;Richtung A nach B;43;01.05.2020 13:11
Leichtes Nutzfahrzeug;8;Richtung B nach A;49;01.05.2020 13:22
Zweirad;8;Richtung A nach B;37;01.05.2020 13:23
LKW;9;Richtung B nach A;43;01.05.2020 13:28
Leichtes Nutzfahrzeug;8;Richtung B nach A;64;01.05.2020 13:30
PKW;9;Richtung A nach B;43;01.05.2020 13:31
LKW mit Anhänger;8;Richtung A nach B;39;01.05.2020 13:34
PKW;9;Richtung A nach B;44;01.05.2020 13:35
PKW;5;Richtung A nach B;45;01.05.2020 13:38
PKW;10;Richtung A nach B;37;01.05.2020 13:42
PKW;9;Richtung A nach B;36;01.05.2020 13:46
PKW;8;Richtung B nach A;40;01.05.2020 13:46
LKW mit Anhänger;8;Richtung B nach A;33;01.05.2020 13:51
PKW;9;Richtung A nach B;43;01.05.2020 13:58
PKW;9;Richtung A nach B;42;01.05.2020 13:58
PKW;9;Richtung A nach B;43;01.05.2020 14:03
PKW;8;Richtung B nach A;44;01.05.2020 14:16
PKW;9;Richtung A nach B;40;01.05.2020 14:22
LKW;9;Richtung B nach A;34;01.05.2020 14:23
Zweirad;10;Richtung A nach B;28;01.05.2020 14:30
LKW;7;Richtung A nach B;51;01.05.2020 14:31
LKW;7;Richtung B nach A;36;01.05.2020 14:36
LKW mit Anhänger;8;Richtung A nach B;31;01.05.2020 15:14
LKW;8;Richtung B nach A;46;01.05.2020 15:21
LKW;8;Richtung A nach B;47;01.05.2020 15:26
PKW;9;Richtung A nach B;45;01.05.2020 15:26
PKW;8;Richtung A nach B;39;01.05.2020 15:31
LKW;6;Richtung A nach B;46;01.05.2020 15:33
PKW;9;Richtung A nach B;35;01.05.2020 15:38
PKW;9;Richtung A nach B;41;01.05.2020 15:48
PKW;8;Richtung B nach A;40;01.05.2020 16:08
PKW;9;Richtung B nach A;44;01.05.2020 16:13
Zweirad;9;Richtung A nach B;30;01.05.2020 16:20
Leichtes Nutzfahrzeug;7;Richtung B nach A;45;01.05.2020 16:22
Zweirad;8;Richtung B nach A;34;01.05.2020 16:36
LKW mit Anhänger;4;Richtung A nach B;49;01.05.2020 16:38
PKW;10;Richtung B nach A;50;01.05.2020 16:45
PKW;8;Richtung B nach A;39;01.05.2020 16:47
PKW;9;Richtung A nach B;40;01.05.2020 16:52
PKW;9;Richtung A nach B;35;01.05.2020 17:03
PKW;8;Richtung B nach A;42;01.05.2020 17:11
LKW;7;Richtung A nach B;37;01.05.2020 17:17
LKW;9;Richtung B nach A;37;01.05.2020 17:23
PKW;9;Richtung A nach B;37;01.05.2020 17:25
LKW;7;Richtung A nach B;49;01.05.2020 17:34
PKW;9;Richtung A nach B;57;01.05.2020 17:40
PKW;9;Richtung B nach A;47;01.05.2020 17:50
PKW;9;Richtung A nach B;45;01.05.2020 17:57
PKW;8;Richtung B nach A;38;01.05.2020 18:00
Zweirad;10;Richtung A nach B;29;01.05.2020 18:02
PKW;9;Richtung B nach A;39;01.05.2020 18:03
PKW;9;Richtung B nach A;41;01.05.2020 18:03
PKW;9;Richtung B nach A;34;01.05.2020 18:05
PKW;9;Richtung B nach A;41;01.05.2020 18:10
PKW;9;Richtung A nach B;34;01.05.2020 18:12
PKW;9;Richtung B nach A;43;01.05.2020 18:18
LKW;9;Richtung B nach A;41;01.05.2020 18:23
LKW;9;Richtung A nach B;40;01.05.2020 18:34
PKW;10;Richtung A nach B;35;01.05.2020 18:36
Zweirad;9;Richtung B nach A;43;01.05.2020 18:42
PKW;9;Richtung B nach A;34;01.05.2020 18:45
PKW;9;Richtung A nach B;45;01.05.2020 19:02
PKW;10;Richtung B nach A;39;01.05.2020 19:10
PKW;9;Richtung A nach B;38;01.05.2020 19:11
PKW;9;Richtung A nach B;33;01.05.2020 19:15
Zweirad;0;Richtung B nach A;50;01.05.2020 19:19
LKW;8;Richtung B nach A;44;01.05.2020 19:24
Zweirad;8;Richtung B nach A;33;01.05.2020 19:25
LKW;8;Richtung A nach B;41;01.05.2020 19:38
Leichtes Nutzfahrzeug;8;Richtung B nach A;47;01.05.2020 19:39
PKW;9;Richtung B nach A;46;01.05.2020 19:52
PKW;8;Richtung A nach B;42;01.05.2020 20:03
PKW;8;Richtung B nach A;43;01.05.2020 20:04
LKW;9;Richtung B nach A;34;01.05.2020 20:23
LKW;9;Richtung A nach B;37;01.05.2020 20:37
LKW;9;Richtung A nach B;42;01.05.2020 20:59
Zweirad;9;Richtung B nach A;27;01.05.2020 21:03
PKW;9;Richtung B nach A;31;01.05.2020 21:16
LKW;8;Richtung B nach A;39;01.05.2020 21:22
Leichtes Nutzfahrzeug;9;Richtung B nach A;41;01.05.2020 21:31
LKW;8;Richtung A nach B;39;01.05.2020 21:36
Zweirad;9;Richtung B nach A;25;01.05.2020 21:51
Zweirad;9;Richtung B nach A;31;01.05.2020 22:18
LKW;8;Richtung B nach A;38;01.05.2020 22:24
LKW;8;Richtung A nach B;51;01.05.2020 22:33
Zweirad;0;Richtung B nach A;50;01.05.2020 22:58
PKW;7;Richtung B nach A;43;01.05.2020 23:00
PKW;8;Richtung B nach A;37;01.05.2020 23:06
Zweirad;0;Richtung B nach A;49;01.05.2020 23:06
Zweirad;0;Richtung B nach A;50;01.05.2020 23:30
PKW;9;Richtung B nach A;32;02.05.2020 01:23
PKW;8;Richtung B nach A;33;02.05.2020 02:26
Zweirad;0;Richtung B nach A;50;02.05.2020 02:59
PKW;9;Richtung A nach B;32;02.05.2020 03:43
LKW mit Anhänger;8;Richtung B nach A;33;02.05.2020 03:50
LKW mit Anhänger;8;Richtung B nach A;29;02.05.2020 04:36
PKW;9;Richtung A nach B;40;02.05.2020 05:08
Leichtes Nutzfahrzeug;10;Richtung B nach A;36;02.05.2020 05:42
PKW;8;Richtung B nach A;37;02.05.2020 05:54
Leichtes Nutzfahrzeug;10;Richtung B nach A;44;02.05.2020 06:22
LKW mit Anhänger;8;Richtung A nach B;31;02.05.2020 06:25
LKW mit Anhänger;3;Richtung A nach B;45;02.05.2020 06:32
Zweirad;10;Richtung B nach A;15;02.05.2020 06:50
PKW;9;Richtung A nach B;39;02.05.2020 06:56
PKW;9;Richtung B nach A;36;02.05.2020 07:11
Leichtes Nutzfahrzeug;8;Richtung B nach A;40;02.05.2020 07:14
PKW;8;Richtung A nach B;41;02.05.2020 07:16
PKW;8;Richtung A nach B;41;02.05.2020 07:17
Zweirad;0;Richtung B nach A;50;02.05.2020 07:20
PKW;10;Richtung B nach A;26;02.05.2020 07:39
Zweirad;9;Richtung B nach A;40;02.05.2020 07:45
LKW mit Anhänger;4;Richtung A nach B;44;02.05.2020 07:45
PKW;9;Richtung A nach B;50;02.05.2020 07:50
PKW;8;Richtung B nach A;40;02.05.2020 08:00
PKW;9;Richtung B nach A;40;02.05.2020 08:02
PKW;8;Richtung A nach B;32;02.05.2020 08:12
PKW;9;Richtung A nach B;31;02.05.2020 08:14
LKW;8;Richtung B nach A;40;02.05.2020 08:22
PKW;9;Richtung B nach A;34;02.05.2020 08:25
PKW;8;Richtung A nach B;47;02.05.2020 08:26
PKW;7;Richtung A nach B;47;02.05.2020 08:27
PKW;7;Richtung A nach B;47;02.05.2020 08:28
PKW;9;Richtung A nach B;47;02.05.2020 08:31
LKW;9;Richtung A nach B;46;02.05.2020 08:33
PKW;9;Richtung B nach A;40;02.05.2020 08:37
Zweirad;9;Richtung A nach B;29;02.05.2020 08:42
PKW;9;Richtung A nach B;48;02.05.2020 08:49
PKW;9;Richtung B nach A;34;02.05.2020 09:06
PKW;8;Richtung A nach B;48;02.05.2020 09:12
Zweirad;9;Richtung B nach A;18;02.05.2020 09:14
PKW;9;Richtung A nach B;41;02.05.2020 09:15
PKW;9;Richtung B nach A;40;02.05.2020 09:17
Zweirad;9;Richtung B nach A;29;02.05.2020 09:21
PKW;9;Richtung B nach A;46;02.05.2020 09:22
LKW;9;Richtung B nach A;37;02.05.2020 09:23
LKW;7;Richtung A nach B;38;02.05.2020 09:24
Leichtes Nutzfahrzeug;8;Richtung B nach A;39;02.05.2020 09:25
PKW;9;Richtung B nach A;38;02.05.2020 09:30
