Classification; Confidence; Direction; Speed in km/h; Time
PKW;8;Richtung A nach B;40;02.05.2020 09:33
Leichtes Nutzfahrzeug;7;Richtung A nach B;40;02.05.2020 09:33
PKW;7;Richtung B nach A;54;02.05.2020 09:48
PKW;9;Richtung A nach B;36;02.05.2020 09:49
PKW;8;Richtung B nach A;43;02.05.2020 09:57
PKW;9;Richtung A nach B;34;02.05.2020 09:59
PKW;10;Richtung A nach B;30;02.05.2020 09:59
PKW;8;Richtung A nach B;39;02.05.2020 10:00
PKW;9;Richtung B nach A;35;02.05.2020 10:01
PKW;10;Richtung B nach A;38;02.05.2020 10:01
PKW;10;Richtung B nach A;42;02.05.2020 10:02
PKW;9;Richtung A nach B;39;02.05.2020 10:07
PKW;9;Richtung A nach B;51;02.05.2020 10:09
LKW;7;Richtung B nach A;41;02.05.2020 10:21
Leichtes Nutzfahrzeug;3;Richtung A nach B;46;02.05.2020 10:22
PKW;9;Richtung A nach B;40;02.05.2020 10:24
Zweirad;9;Richtung A nach B;24;02.05.2020 10:24
PKW;9;Richtung A nach B;27;02.05.2020 10:24
PKW;9;Richtung B nach A;36;02.05.2020 10:33
Zweirad;9;Richtung B nach A;29;02.05.2020 10:34
PKW;9;Richtung B nach A;37;02.05.2020 10:34
PKW;9;Richtung B nach A;39;02.05.2020 10:35
LKW;8;Richtung A nach B;47;02.05.2020 10:35
PKW;9;Richtung A nach B;47;02.05.2020 10:35
PKW;9;Richtung B nach A;49;02.05.2020 10:36
PKW;9;Richtung A nach B;40;02.05.2020 10:39
LKW;7;Richtung A nach B;36;02.05.2020 10:44
PKW;9;Richtung B nach A;33;02.05.2020 10:50
PKW;8;Richtung B nach A;45;02.05.2020 10:56
PKW;10;Richtung A nach B;34;02.05.2020 10:58
LKW;7;Richtung A nach B;41;02.05.2020 11:00
PKW;9;Richtung B nach A;40;02.05.2020 11:00
PKW;10;Richtung B nach A;49;02.05.2020 11:00
PKW;9;Richtung A nach B;34;02.05.2020 11:03
PKW;9;Richtung B nach A;37;02.05.2020 11:06
Zweirad;9;Richtung A nach B;29;02.05.2020 11:06
PKW;10;Richtung A nach B;31;02.05.2020 11:08
PKW;9;Richtung A nach B;43;02.05.2020 11:10
Leichtes Nutzfahrzeug;9;Richtung A nach B;39;02.05.2020 11:11
PKW;10;Richtung A nach B;26;02.05.2020 11:12
PKW;9;Richtung A nach B;47;02.05.2020 11:14
PKW;10;Richtung B nach A;49;02.05.2020 11:15
PKW;9;Richtung A nach B;34;02.05.2020 11:19
PKW;10;Richtung A nach B;47;02.05.2020 11:20
LKW;8;Richtung B nach A;40;02.05.2020 11:21
LKW;8;Richtung A nach B;41;02.05.2020 11:33
PKW;9;Richtung B nach A;38;02.05.2020 11:34
PKW;9;Richtung B nach A;44;02.05.2020 11:43
PKW;9;Richtung A nach B;39;02.05.2020 11:44
PKW;9;Richtung A nach B;37;02.05.2020 11:46
Zweirad;9;Richtung A nach B;32;02.05.2020 11:46
PKW;9;Richtung A nach B;35;02.05.2020 11:49
PKW;8;Richtung B nach A;43;02.05.2020 11:49
Zweirad;9;Richtung B nach A;30;02.05.2020 11:53
PKW;9;Richtung B nach A;48;02.05.2020 11:53
PKW;8;Richtung A nach B;49;02.05.2020 11:54
PKW;8;Richtung A nach B;47;02.05.2020 11:57
PKW;9;Richtung A nach B;49;02.05.2020 12:03
PKW;9;Richtung A nach B;40;02.05.2020 12:06
Zweirad;9;Richtung A nach B;32;02.05.2020 12:09
LKW;7;Richtung A nach B;38;02.05.2020 12:09
PKW;9;Richtung A nach B;45;02.05.2020 12:14
Leichtes Nutzfahrzeug;9;Richtung A nach B;43;02.05.2020 12:15
PKW;10;Richtung A nach B;40;02.05.2020 12:15
PKW;9;Richtung A nach B;35;02.05.2020 12:20
PKW;9;Richtung A nach B;36;02.05.2020 12:20
LKW;8;Richtung B nach A;42;02.05.2020 12:21
PKW;9;Richtung B nach A;36;02.05.2020 12:26
PKW;9;Richtung B nach A;42;02.05.2020 12:26
Zweirad;9;Richtung A nach B;36;02.05.2020 12:27
PKW;8;Richtung B nach A;43;02.05.2020 12:32
Leichtes Nutzfahrzeug;8;Richtung A nach B;46;02.05.2020 12:33
PKW;9;Richtung A nach B;43;02.05.2020 12:35
PKW;8;Richtung A nach B;37;02.05.2020 12:35
PKW;9;Richtung B nach A;29;02.05.2020 12:41
PKW;9;Richtung B nach A;41;02.05.2020 12:41
Zweirad;9;Richtung B nach A;30;02.05.2020 12:46
PKW;9;Richtung A nach B;42;02.05.2020 12:49
Leichtes Nutzfahrzeug;9;Richtung A nach B;41;02.05.2020 12:51
Leichtes Nutzfahrzeug;9;Richtung A nach B;37;02.05.2020 12:51
Leichtes Nutzfahrzeug;9;Richtung A nach B;44;02.05.2020 12:52
Zweirad;9;Richtung A nach B;40;02.05.2020 12:53
PKW;10;Richtung B nach A;38;02.05.2020 12:56
PKW;9;Richtung B nach A;35;02.05.2020 12:59
PKW;9;Richtung A nach B;43;02.05.2020 13:10
Zweirad;9;Richtung B nach A;33;02.05.2020 13:10
LKW;7;Richtung B nach A;34;02.05.2020 13:20
PKW;10;Richtung B nach A;36;02.05.2020 13:20
PKW;9;Richtung A nach B;34;02.05.2020 13:21
LKW;8;Richtung B nach A;38;02.05.2020 13:21
Leichtes Nutzfahrzeug;10;Richtung A nach B;36;02.05.2020 13:22
Leichtes Nutzfahrzeug;9;Richtung B nach A;37;02.05.2020 13:24
PKW;9;Richtung A nach B;34;02.05.2020 13:28
PKW;9;Richtung B nach A;47;02.05.2020 13:29
Leichtes Nutzfahrzeug;10;Richtung A nach B;42;02.05.2020 13:32
LKW;8;Richtung A nach B;53;02.05.2020 13:33
PKW;9;Richtung A nach B;31;02.05.2020 13:34
Leichtes Nutzfahrzeug;8;Richtung B nach A;44;02.05.2020 13:37
Zweirad;9;Richtung B nach A;30;02.05.2020 13:38
PKW;9;Richtung A nach B;49;02.05.2020 13:43
PKW;8;Richtung A nach B;45;02.05.2020 13:43
Leichtes Nutzfahrzeug;9;Richtung A nach B;41;02.05.2020 14:01
PKW;9;Richtung A nach B;42;02.05.2020 14:02
LKW;9;Richtung B nach A;39;02.05.2020 14:09
Zweirad;8;Richtung B nach A;57;02.05.2020 14:15
PKW;9;Richtung A nach B;40;02.05.2020 14:19
Zweirad;9;Richtung B nach A;30;02.05.2020 14:19
PKW;9;Richtung B nach A;42;02.05.2020 14:21
Zweirad;9;Richtung A nach B;43;02.05.2020 14:23
LKW;8;Richtung B nach A;46;02.05.2020 14:25
PKW;10;Richtung A nach B;36;02.05.2020 14:28
PKW;9;Richtung A nach B;39;02.05.2020 14:28
Leichtes Nutzfahrzeug;7;Richtung A nach B;41;02.05.2020 14:33
Zweirad;9;Richtung A nach B;45;02.05.2020 14:34
Zweirad;9;Richtung B nach A;27;02.05.2020 14:35
Zweirad;9;Richtung A nach B;40;02.05.2020 14:46
PKW;9;Richtung A nach B;48;02.05.2020 14:52
Leichtes Nutzfahrzeug;9;Richtung A nach B;51;02.05.2020 14:56
PKW;9;Richtung B nach A;41;02.05.2020 14:57
Zweirad;10;Richtung B nach A;28;02.05.2020 15:00
PKW;9;Richtung A nach B;39;02.05.2020 15:09
Zweirad;9;Richtung B nach A;27;02.05.2020 15:09
PKW;9;Richtung B nach A;36;02.05.2020 15:12
PKW;9;Richtung A nach B;32;02.05.2020 15:13
LKW;9;Richtung B nach A;40;02.05.2020 15:19
Zweirad;9;Richtung B nach A;26;02.05.2020 15:25
Leichtes Nutzfahrzeug;7;Richtung A nach B;40;02.05.2020 15:35
Leichtes Nutzfahrzeug;6;Richtung B nach A;39;02.05.2020 15:38
PKW;9;Richtung A nach B;37;02.05.2020 15:38
Zweirad;9;Richtung B nach A;26;02.05.2020 15:45
PKW;9;Richtung A nach B;65;02.05.2020 15:59
PKW;9;Richtung A nach B;39;02.05.2020 16:03
Zweirad;10;Richtung B nach A;17;02.05.2020 16:09
PKW;8;Richtung A nach B;45;02.05.2020 16:21
LKW;8;Richtung B nach A;42;02.05.2020 16:22
Zweirad;9;Richtung B nach A;28;02.05.2020 16:26
Leichtes Nutzfahrzeug;8;Richtung A nach B;43;02.05.2020 16:31
PKW;9;Richtung B nach A;40;02.05.2020 16:32
PKW;9;Richtung A nach B;43;02.05.2020 16:53
LKW;7;Richtung A nach B;38;02.05.2020 17:06
PKW;10;Richtung A nach B;30;02.05.2020 17:07
PKW;9;Richtung A nach B;39;02.05.2020 17:09
LKW;9;Richtung B nach A;40;02.05.2020 17:22
PKW;9;Richtung A nach B;38;02.05.2020 17:34
LKW;8;Richtung A nach B;39;02.05.2020 17:36
PKW;9;Richtung A nach B;49;02.05.2020 17:37
PKW;9;Richtung B nach A;43;02.05.2020 17:44
LKW;8;Richtung B nach A;32;02.05.2020 17:52
PKW;10;Richtung B nach A;40;02.05.2020 17:53
Zweirad;9;Richtung B nach A;42;02.05.2020 17:55
Zweirad;9;Richtung B nach A;28;02.05.2020 17:59
Zweirad;10;Richtung A nach B;30;02.05.2020 18:01
PKW;3;Richtung A nach B;46;02.05.2020 18:07
PKW;2;Richtung A nach B;46;02.05.2020 18:07
PKW;6;Richtung A nach B;38;02.05.2020 18:07
Zweirad;9;Richtung A nach B;49;02.05.2020 18:08
PKW;9;Richtung B nach A;39;02.05.2020 18:11
LKW;7;Richtung B nach A;38;02.05.2020 18:20
Leichtes Nutzfahrzeug;8;Richtung B nach A;38;02.05.2020 18:23
PKW;8;Richtung B nach A;40;02.05.2020 18:23
Zweirad;10;Richtung A nach B;24;02.05.2020 18:28
LKW;8;Richtung A nach B;46;02.05.2020 18:36
PKW;9;Richtung B nach A;36;02.05.2020 18:39
Zweirad;10;Richtung A nach B;42;02.05.2020 18:48
Leichtes Nutzfahrzeug;8;Richtung A nach B;27;02.05.2020 18:53
Zweirad;9;Richtung B nach A;29;02.05.2020 18:59
PKW;10;Richtung A nach B;38;02.05.2020 18:59
LKW mit Anhänger;8;Richtung A nach B;36;02.05.2020 19:06
LKW;8;Richtung B nach A;41;02.05.2020 19:22
Zweirad;9;Richtung B nach A;27;02.05.2020 19:24
LKW;7;Richtung B nach A;35;02.05.2020 19:28
LKW;8;Richtung A nach B;43;02.05.2020 19:35
PKW;3;Richtung A nach B;46;02.05.2020 19:42
Leichtes Nutzfahrzeug;3;Richtung A nach B;44;02.05.2020 19:42
Leichtes Nutzfahrzeug;4;Richtung B nach A;45;02.05.2020 20:05
PKW;7;Richtung B nach A;42;02.05.2020 20:08
Zweirad;9;Richtung B nach A;24;02.05.2020 20:11
Zweirad;9;Richtung A nach B;27;02.05.2020 20:19
Leichtes Nutzfahrzeug;8;Richtung B nach A;38;02.05.2020 20:22
Zweirad;9;Richtung B nach A;22;02.05.2020 20:24
Zweirad;9;Richtung B nach A;22;02.05.2020 20:24
Leichtes Nutzfahrzeug;8;Richtung B nach A;32;02.05.2020 20:31
LKW mit Anhänger;9;Richtung B nach A;71;02.05.2020 20:31
LKW;9;Richtung A nach B;39;02.05.2020 20:33
Zweirad;9;Richtung A nach B;28;02.05.2020 20:40
Leichtes Nutzfahrzeug;3;Richtung A nach B;45;02.05.2020 21:15
PKW;4;Richtung A nach B;43;02.05.2020 21:16
PKW;9;Richtung B nach A;33;02.05.2020 21:22
LKW;9;Richtung B nach A;38;02.05.2020 21:23
PKW;9;Richtung A nach B;47;02.05.2020 21:31
LKW;8;Richtung A nach B;43;02.05.2020 21:34
PKW;10;Richtung A nach B;49;02.05.2020 22:08
LKW;8;Richtung B nach A;44;02.05.2020 22:24
LKW;8;Richtung A nach B;46;02.05.2020 22:35
PKW;9;Richtung B nach A;45;02.05.2020 22:49
PKW;9;Richtung A nach B;47;02.05.2020 22:50
LKW;9;Richtung B nach A;42;02.05.2020 23:22
Leichtes Nutzfahrzeug;9;Richtung A nach B;43;02.05.2020 23:33
LKW;7;Richtung A nach B;38;02.05.2020 23:36
PKW;9;Richtung B nach A;28;03.05.2020 00:02
PKW;10;Richtung A nach B;38;03.05.2020 00:36
Zweirad;9;Richtung A nach B;34;03.05.2020 02:08
PKW;9;Richtung B nach A;40;03.05.2020 04:17
PKW;9;Richtung B nach A;36;03.05.2020 05:37
PKW;8;Richtung B nach A;40;03.05.2020 06:01
PKW;10;Richtung A nach B;31;03.05.2020 06:23
PKW;9;Richtung B nach A;49;03.05.2020 06:24
PKW;9;Richtung B nach A;36;03.05.2020 07:04
PKW;10;Richtung B nach A;27;03.05.2020 07:28
LKW;7;Richtung A nach B;38;03.05.2020 07:30
Leichtes Nutzfahrzeug;4;Richtung B nach A;45;03.05.2020 07:31
PKW;9;Richtung B nach A;45;03.05.2020 07:39
PKW;10;Richtung A nach B;43;03.05.2020 07:41
PKW;8;Richtung B nach A;42;03.05.2020 07:43
LKW;6;Richtung A nach B;41;03.05.2020 08:03
PKW;9;Richtung A nach B;38;03.05.2020 08:08
PKW;9;Richtung A nach B;38;03.05.2020 08:32
PKW;10;Richtung B nach A;35;03.05.2020 08:35
PKW;9;Richtung B nach A;31;03.05.2020 08:59
Zweirad;7;Richtung B nach A;34;03.05.2020 09:07
LKW;9;Richtung B nach A;40;03.05.2020 09:24
PKW;8;Richtung A nach B;38;03.05.2020 09:27
PKW;9;Richtung B nach A;33;03.05.2020 09:30
Zweirad;9;Richtung B nach A;31;03.05.2020 09:33
LKW;8;Richtung A nach B;41;03.05.2020 09:36
Zweirad;9;Richtung A nach B;29;03.05.2020 09:40
Zweirad;9;Richtung B nach A;25;03.05.2020 09:54
Zweirad;8;Richtung B nach A;29;03.05.2020 09:55
LKW;7;Richtung B nach A;38;03.05.2020 10:00
LKW;8;Richtung B nach A;32;03.05.2020 10:09
LKW;9;Richtung B nach A;40;03.05.2020 10:22
PKW;10;Richtung B nach A;47;03.05.2020 10:22
PKW;10;Richtung B nach A;40;03.05.2020 10:29
Zweirad;10;Richtung B nach A;27;03.05.2020 10:34
LKW;7;Richtung A nach B;47;03.05.2020 10:34
PKW;9;Richtung B nach A;53;03.05.2020 10:47
LKW;9;Richtung A nach B;31;03.05.2020 10:56
PKW;10;Richtung A nach B;41;03.05.2020 10:58
Zweirad;8;Richtung A nach B;36;03.05.2020 11:05
PKW;9;Richtung B nach A;41;03.05.2020 11:09
PKW;9;Richtung B nach A;44;03.05.2020 11:10
Zweirad;8;Richtung A nach B;32;03.05.2020 11:10
PKW;9;Richtung A nach B;41;03.05.2020 11:12
PKW;9;Richtung B nach A;45;03.05.2020 11:17
LKW;8;Richtung B nach A;39;03.05.2020 11:23
PKW;4;Richtung A nach B;47;03.05.2020 11:35
PKW;8;Richtung A nach B;33;03.05.2020 11:36
PKW;9;Richtung B nach A;37;03.05.2020 11:43
PKW;10;Richtung A nach B;36;03.05.2020 11:53
Zweirad;10;Richtung A nach B;23;03.05.2020 12:06
Zweirad;9;Richtung B nach A;28;03.05.2020 12:09
Zweirad;9;Richtung A nach B;34;03.05.2020 12:09
Zweirad;9;Richtung B nach A;31;03.05.2020 12:12
PKW;9;Richtung B nach A;37;03.05.2020 12:21
LKW;9;Richtung B nach A;38;03.05.2020 12:22
