Classification; Confidence; Direction; Speed in km/h; Time
LKW;5;Richtung A nach B;45;01.10.2020 00:00
PKW;8;Richtung A nach B;34;01.10.2020 00:13
LKW;10;Richtung B nach A;19;01.10.2020 00:33
LKW mit Anhänger;6;Richtung A nach B;48;01.10.2020 00:36
PKW;9;Richtung B nach A;31;01.10.2020 01:07
PKW;9;Richtung A nach B;52;01.10.2020 01:28
PKW;10;Richtung B nach A;30;01.10.2020 01:51
Zweirad;9;Richtung A nach B;32;01.10.2020 02:32
PKW;10;Richtung B nach A;40;01.10.2020 02:52
PKW;9;Richtung B nach A;34;01.10.2020 02:57
PKW;8;Richtung A nach B;33;01.10.2020 03:12
LKW mit Anhänger;9;Richtung B nach A;31;01.10.2020 04:19
PKW;9;Richtung A nach B;47;01.10.2020 04:26
PKW;10;Richtung A nach B;37;01.10.2020 04:39
PKW;9;Richtung A nach B;34;01.10.2020 04:42
PKW;9;Richtung A nach B;41;01.10.2020 04:44
PKW;9;Richtung A nach B;48;01.10.2020 04:45
PKW;9;Richtung A nach B;48;01.10.2020 04:45
PKW;9;Richtung A nach B;49;01.10.2020 04:47
PKW;8;Richtung A nach B;49;01.10.2020 04:47
PKW;9;Richtung A nach B;37;01.10.2020 04:49
PKW;10;Richtung A nach B;41;01.10.2020 04:51
PKW;9;Richtung A nach B;40;01.10.2020 04:51
PKW;9;Richtung A nach B;50;01.10.2020 04:53
PKW;9;Richtung A nach B;37;01.10.2020 04:53
PKW;9;Richtung A nach B;40;01.10.2020 04:57
Zweirad;9;Richtung A nach B;27;01.10.2020 04:57
PKW;9;Richtung A nach B;35;01.10.2020 04:57
PKW;9;Richtung A nach B;32;01.10.2020 05:01
LKW mit Anhänger;9;Richtung B nach A;30;01.10.2020 05:01
PKW;10;Richtung A nach B;37;01.10.2020 05:12
Zweirad;9;Richtung A nach B;32;01.10.2020 05:18
PKW;9;Richtung A nach B;40;01.10.2020 05:21
Zweirad;9;Richtung A nach B;34;01.10.2020 05:23
PKW;9;Richtung B nach A;32;01.10.2020 05:23
PKW;9;Richtung A nach B;25;01.10.2020 05:23
Zweirad;9;Richtung A nach B;31;01.10.2020 05:30
PKW;9;Richtung A nach B;40;01.10.2020 05:32
PKW;9;Richtung A nach B;43;01.10.2020 05:33
PKW;9;Richtung A nach B;46;01.10.2020 05:33
PKW;9;Richtung A nach B;43;01.10.2020 05:34
LKW;9;Richtung A nach B;40;01.10.2020 05:35
PKW;9;Richtung A nach B;40;01.10.2020 05:37
