Classification; Confidence; Direction; Speed in km/h; Time
PKW;9;Richtung A nach B;45;01.02.2020 12:04
Zweirad;10;Richtung B nach A;23;01.02.2020 12:06
PKW;9;Richtung A nach B;46;01.02.2020 12:09
PKW;9;Richtung B nach A;39;01.02.2020 12:10
PKW;10;Richtung B nach A;39;01.02.2020 12:11
LKW;9;Richtung B nach A;45;01.02.2020 12:24
PKW;9;Richtung A nach B;51;01.02.2020 12:28
PKW;9;Richtung B nach A;30;01.02.2020 12:29
Zweirad;9;Richtung B nach A;41;01.02.2020 12:31
Zweirad;9;Richtung A nach B;45;01.02.2020 12:33
PKW;7;Richtung A nach B;44;01.02.2020 12:34
PKW;9;Richtung A nach B;39;01.02.2020 12:34
Zweirad;10;Richtung B nach A;34;01.02.2020 12:39
Zweirad;8;Richtung B nach A;39;01.02.2020 12:44
Zweirad;7;Richtung B nach A;41;01.02.2020 12:45
Zweirad;9;Richtung B nach A;39;01.02.2020 12:47
PKW;7;Richtung A nach B;48;01.02.2020 12:50
Zweirad;8;Richtung A nach B;37;01.02.2020 12:51
PKW;9;Richtung B nach A;40;01.02.2020 12:52
Zweirad;10;Richtung A nach B;37;01.02.2020 12:55
PKW;9;Richtung A nach B;41;01.02.2020 12:56
PKW;10;Richtung A nach B;44;01.02.2020 12:56
Zweirad;8;Richtung B nach A;38;01.02.2020 12:59
PKW;8;Richtung A nach B;44;01.02.2020 12:59
Zweirad;8;Richtung A nach B;42;01.02.2020 12:59
Zweirad;8;Richtung B nach A;41;01.02.2020 13:00
Zweirad;9;Richtung B nach A;38;01.02.2020 13:00
Zweirad;9;Richtung B nach A;40;01.02.2020 13:01
PKW;10;Richtung A nach B;47;01.02.2020 13:08
Zweirad;7;Richtung A nach B;42;01.02.2020 13:11
Zweirad;8;Richtung A nach B;42;01.02.2020 13:11
LKW;9;Richtung B nach A;38;01.02.2020 13:21
Zweirad;9;Richtung B nach A;41;01.02.2020 13:27
PKW;8;Richtung A nach B;43;01.02.2020 13:30
Zweirad;8;Richtung A nach B;39;01.02.2020 13:31
PKW;9;Richtung B nach A;43;01.02.2020 13:32
LKW;10;Richtung A nach B;42;01.02.2020 13:33
PKW;7;Richtung A nach B;51;01.02.2020 13:40
Zweirad;9;Richtung B nach A;36;01.02.2020 13:50
Zweirad;9;Richtung A nach B;54;01.02.2020 13:55
PKW;8;Richtung A nach B;33;01.02.2020 13:55
PKW;9;Richtung B nach A;43;01.02.2020 13:56
PKW;9;Richtung A nach B;43;01.02.2020 14:00
Zweirad;8;Richtung A nach B;41;01.02.2020 14:07
PKW;10;Richtung A nach B;44;01.02.2020 14:11
PKW;9;Richtung A nach B;38;01.02.2020 14:15
LKW;7;Richtung B nach A;45;01.02.2020 14:21
Zweirad;9;Richtung A nach B;24;01.02.2020 14:33
LKW;8;Richtung A nach B;40;01.02.2020 14:33
Zweirad;0;Richtung B nach A;50;01.02.2020 14:55
PKW;8;Richtung A nach B;48;01.02.2020 15:00
PKW;8;Richtung B nach A;39;01.02.2020 15:02
PKW;9;Richtung A nach B;34;01.02.2020 15:09
PKW;9;Richtung B nach A;37;01.02.2020 15:14
LKW;5;Richtung B nach A;44;01.02.2020 15:20
Leichtes Nutzfahrzeug;10;Richtung B nach A;36;01.02.2020 15:23
PKW;9;Richtung B nach A;32;01.02.2020 15:30
LKW;8;Richtung A nach B;45;01.02.2020 15:33
PKW;9;Richtung A nach B;38;01.02.2020 15:36
Leichtes Nutzfahrzeug;8;Richtung A nach B;46;01.02.2020 15:41
Zweirad;7;Richtung B nach A;40;01.02.2020 15:47
PKW;9;Richtung A nach B;40;01.02.2020 16:08
LKW;8;Richtung B nach A;39;01.02.2020 16:21
Leichtes Nutzfahrzeug;8;Richtung B nach A;47;01.02.2020 16:29
LKW mit Anhänger;7;Richtung A nach B;48;01.02.2020 16:34
Leichtes Nutzfahrzeug;6;Richtung A nach B;41;01.02.2020 16:38
Zweirad;7;Richtung A nach B;39;01.02.2020 16:40
Leichtes Nutzfahrzeug;9;Richtung B nach A;50;01.02.2020 16:54
PKW;8;Richtung A nach B;37;01.02.2020 16:56
PKW;9;Richtung B nach A;40;01.02.2020 17:13
Leichtes Nutzfahrzeug;8;Richtung A nach B;47;01.02.2020 17:14
PKW;9;Richtung A nach B;44;01.02.2020 17:15
PKW;9;Richtung B nach A;41;01.02.2020 17:15
PKW;8;Richtung A nach B;47;01.02.2020 17:22
LKW;9;Richtung B nach A;41;01.02.2020 17:26
Zweirad;9;Richtung A nach B;34;01.02.2020 17:28
Zweirad;10;Richtung B nach A;26;01.02.2020 17:30
LKW mit Anhänger;7;Richtung A nach B;46;01.02.2020 17:33
Leichtes Nutzfahrzeug;9;Richtung B nach A;43;01.02.2020 17:34
PKW;9;Richtung A nach B;43;01.02.2020 17:41
PKW;10;Richtung B nach A;34;01.02.2020 17:58
PKW;8;Richtung A nach B;39;01.02.2020 18:13
LKW;9;Richtung B nach A;40;01.02.2020 18:23
Leichtes Nutzfahrzeug;9;Richtung B nach A;41;01.02.2020 18:29
Zweirad;0;Richtung B nach A;50;01.02.2020 18:36
Leichtes Nutzfahrzeug;9;Richtung A nach B;39;01.02.2020 18:37
LKW;9;Richtung A nach B;36;01.02.2020 18:47
LKW;9;Richtung B nach A;36;01.02.2020 19:23
Leichtes Nutzfahrzeug;8;Richtung A nach B;41;01.02.2020 19:37
PKW;8;Richtung A nach B;45;01.02.2020 19:38
Leichtes Nutzfahrzeug;9;Richtung B nach A;49;01.02.2020 19:52
LKW mit Anhänger;8;Richtung B nach A;33;01.02.2020 19:52
PKW;8;Richtung B nach A;30;01.02.2020 19:53
LKW mit Anhänger;6;Richtung B nach A;34;01.02.2020 19:53
PKW;9;Richtung B nach A;38;01.02.2020 19:54
Leichtes Nutzfahrzeug;8;Richtung A nach B;28;01.02.2020 19:54
PKW;9;Richtung A nach B;37;01.02.2020 19:59
Zweirad;0;Richtung B nach A;50;01.02.2020 20:08
LKW mit Anhänger;9;Richtung B nach A;44;01.02.2020 20:22
LKW;8;Richtung A nach B;36;01.02.2020 20:30
LKW;9;Richtung A nach B;40;01.02.2020 20:36
Leichtes Nutzfahrzeug;9;Richtung B nach A;48;01.02.2020 20:47
PKW;9;Richtung B nach A;34;01.02.2020 20:49
PKW;9;Richtung B nach A;41;01.02.2020 20:51
PKW;10;Richtung A nach B;46;01.02.2020 21:03
PKW;9;Richtung B nach A;49;01.02.2020 21:03
LKW;9;Richtung B nach A;38;01.02.2020 21:22
Zweirad;10;Richtung A nach B;22;01.02.2020 21:26
Zweirad;9;Richtung B nach A;30;01.02.2020 21:27
PKW;9;Richtung A nach B;38;01.02.2020 21:32
LKW;8;Richtung A nach B;48;01.02.2020 21:34
PKW;9;Richtung A nach B;47;01.02.2020 21:36
LKW mit Anhänger;9;Richtung B nach A;28;01.02.2020 21:46
Zweirad;9;Richtung A nach B;22;01.02.2020 21:58
PKW;8;Richtung A nach B;46;01.02.2020 22:01
PKW;9;Richtung A nach B;38;01.02.2020 22:02
LKW;9;Richtung A nach B;27;01.02.2020 22:08
LKW;8;Richtung B nach A;34;01.02.2020 22:23
LKW;3;Richtung B nach A;48;01.02.2020 22:25
LKW;7;Richtung A nach B;44;01.02.2020 22:34
LKW;8;Richtung A nach B;31;01.02.2020 22:42
PKW;9;Richtung A nach B;50;01.02.2020 22:45
PKW;9;Richtung B nach A;33;01.02.2020 23:11
LKW;9;Richtung B nach A;40;01.02.2020 23:22
PKW;9;Richtung B nach A;34;01.02.2020 23:30
LKW;8;Richtung A nach B;42;01.02.2020 23:36
PKW;8;Richtung B nach A;45;01.02.2020 23:38
PKW;9;Richtung A nach B;41;02.02.2020 00:16
PKW;9;Richtung A nach B;43;02.02.2020 00:31
Zweirad;10;Richtung A nach B;22;02.02.2020 00:43
PKW;8;Richtung A nach B;45;02.02.2020 00:55
PKW;8;Richtung A nach B;36;02.02.2020 01:25
PKW;8;Richtung A nach B;36;02.02.2020 02:16
Leichtes Nutzfahrzeug;9;Richtung B nach A;33;02.02.2020 02:27
PKW;8;Richtung A nach B;47;02.02.2020 02:47
PKW;8;Richtung A nach B;46;02.02.2020 03:06
LKW;5;Richtung A nach B;37;02.02.2020 04:20
PKW;9;Richtung A nach B;47;02.02.2020 04:41
Zweirad;9;Richtung B nach A;44;02.02.2020 05:36
PKW;9;Richtung A nach B;36;02.02.2020 05:47
PKW;9;Richtung A nach B;37;02.02.2020 05:53
Zweirad;8;Richtung A nach B;29;02.02.2020 06:18
PKW;9;Richtung B nach A;35;02.02.2020 06:33
Leichtes Nutzfahrzeug;9;Richtung B nach A;45;02.02.2020 06:34
LKW;6;Richtung A nach B;44;02.02.2020 07:29
Leichtes Nutzfahrzeug;8;Richtung B nach A;45;02.02.2020 07:43
LKW mit Anhänger;5;Richtung A nach B;45;02.02.2020 07:54
Zweirad;9;Richtung B nach A;23;02.02.2020 08:09
Zweirad;9;Richtung A nach B;30;02.02.2020 08:09
Leichtes Nutzfahrzeug;9;Richtung B nach A;34;02.02.2020 08:37
Zweirad;9;Richtung B nach A;23;02.02.2020 08:59
PKW;8;Richtung A nach B;48;02.02.2020 09:07
PKW;9;Richtung B nach A;37;02.02.2020 09:08
LKW;7;Richtung B nach A;45;02.02.2020 09:22
Leichtes Nutzfahrzeug;8;Richtung B nach A;43;02.02.2020 09:23
Leichtes Nutzfahrzeug;8;Richtung B nach A;49;02.02.2020 09:32
LKW;8;Richtung A nach B;46;02.02.2020 09:36
Leichtes Nutzfahrzeug;9;Richtung B nach A;43;02.02.2020 09:42
Zweirad;9;Richtung A nach B;21;02.02.2020 09:53
PKW;7;Richtung B nach A;46;02.02.2020 09:59
Leichtes Nutzfahrzeug;9;Richtung B nach A;39;02.02.2020 10:16
LKW mit Anhänger;8;Richtung B nach A;45;02.02.2020 10:22
PKW;8;Richtung A nach B;51;02.02.2020 10:30
LKW;7;Richtung A nach B;49;02.02.2020 10:33
PKW;9;Richtung A nach B;45;02.02.2020 10:39
Leichtes Nutzfahrzeug;9;Richtung B nach A;45;02.02.2020 10:49
Zweirad;9;Richtung B nach A;20;02.02.2020 10:49
Leichtes Nutzfahrzeug;9;Richtung B nach A;50;02.02.2020 10:49
PKW;8;Richtung B nach A;42;02.02.2020 10:57
PKW;8;Richtung A nach B;45;02.02.2020 11:05
PKW;8;Richtung A nach B;38;02.02.2020 11:16
LKW;7;Richtung B nach A;42;02.02.2020 11:22
Leichtes Nutzfahrzeug;8;Richtung B nach A;53;02.02.2020 11:27
Leichtes Nutzfahrzeug;9;Richtung B nach A;48;02.02.2020 11:29
LKW;6;Richtung A nach B;46;02.02.2020 11:37
PKW;9;Richtung B nach A;30;02.02.2020 11:47
PKW;9;Richtung B nach A;29;02.02.2020 11:55
PKW;8;Richtung A nach B;38;02.02.2020 11:59
PKW;9;Richtung A nach B;42;02.02.2020 12:07
PKW;9;Richtung A nach B;46;02.02.2020 12:09
PKW;9;Richtung A nach B;35;02.02.2020 12:18
LKW;7;Richtung B nach A;34;02.02.2020 12:21
Zweirad;9;Richtung A nach B;23;02.02.2020 12:24
PKW;9;Richtung A nach B;53;02.02.2020 12:27
PKW;8;Richtung A nach B;45;02.02.2020 12:33
LKW;9;Richtung A nach B;43;02.02.2020 12:34
Zweirad;10;Richtung A nach B;25;02.02.2020 12:38
PKW;9;Richtung B nach A;41;02.02.2020 12:42
PKW;9;Richtung A nach B;48;02.02.2020 12:48
Zweirad;9;Richtung A nach B;25;02.02.2020 12:50
PKW;9;Richtung A nach B;41;02.02.2020 12:51
PKW;8;Richtung A nach B;43;02.02.2020 12:51
Leichtes Nutzfahrzeug;8;Richtung B nach A;47;02.02.2020 12:52
PKW;8;Richtung A nach B;36;02.02.2020 12:52
Leichtes Nutzfahrzeug;9;Richtung B nach A;36;02.02.2020 12:59
Zweirad;3;Richtung A nach B;56;02.02.2020 13:01
PKW;9;Richtung A nach B;43;02.02.2020 13:10
PKW;9;Richtung A nach B;47;02.02.2020 13:17
LKW;9;Richtung B nach A;43;02.02.2020 13:22
PKW;10;Richtung B nach A;34;02.02.2020 13:27
PKW;9;Richtung B nach A;38;02.02.2020 13:36
LKW;7;Richtung A nach B;43;02.02.2020 13:36
PKW;8;Richtung A nach B;49;02.02.2020 13:43
Leichtes Nutzfahrzeug;9;Richtung B nach A;48;02.02.2020 14:00
Zweirad;9;Richtung A nach B;30;02.02.2020 14:07
PKW;9;Richtung A nach B;41;02.02.2020 14:10
PKW;9;Richtung A nach B;39;02.02.2020 14:16
Zweirad;9;Richtung A nach B;38;02.02.2020 14:16
LKW;7;Richtung B nach A;47;02.02.2020 14:22
LKW;8;Richtung A nach B;46;02.02.2020 14:35
Leichtes Nutzfahrzeug;8;Richtung B nach A;39;02.02.2020 14:42
PKW;9;Richtung A nach B;44;02.02.2020 14:51
PKW;9;Richtung B nach A;35;02.02.2020 14:53
PKW;8;Richtung A nach B;46;02.02.2020 15:06
Zweirad;8;Richtung B nach A;29;02.02.2020 15:10
PKW;10;Richtung B nach A;32;02.02.2020 15:13
PKW;9;Richtung B nach A;45;02.02.2020 15:18
Leichtes Nutzfahrzeug;8;Richtung B nach A;36;02.02.2020 15:24
PKW;8;Richtung A nach B;46;02.02.2020 15:26
PKW;9;Richtung A nach B;36;02.02.2020 15:27
Zweirad;9;Richtung A nach B;27;02.02.2020 15:33
LKW;7;Richtung A nach B;48;02.02.2020 15:35
PKW;10;Richtung A nach B;41;02.02.2020 16:04
PKW;9;Richtung A nach B;46;02.02.2020 16:05
PKW;10;Richtung A nach B;40;02.02.2020 16:09
PKW;9;Richtung B nach A;37;02.02.2020 16:12
PKW;9;Richtung A nach B;40;02.02.2020 16:13
PKW;9;Richtung A nach B;35;02.02.2020 16:19
LKW;8;Richtung B nach A;43;02.02.2020 16:22
PKW;9;Richtung A nach B;56;02.02.2020 16:26
LKW mit Anhänger;9;Richtung B nach A;25;02.02.2020 16:32
LKW;8;Richtung A nach B;45;02.02.2020 16:34
Zweirad;9;Richtung B nach A;28;02.02.2020 16:45
Zweirad;9;Richtung B nach A;25;02.02.2020 16:46
PKW;9;Richtung B nach A;43;02.02.2020 16:47
Leichtes Nutzfahrzeug;9;Richtung B nach A;41;02.02.2020 16:49
PKW;10;Richtung B nach A;50;02.02.2020 16:49
PKW;9;Richtung B nach A;40;02.02.2020 16:52
PKW;9;Richtung A nach B;56;02.02.2020 17:00
PKW;9;Richtung B nach A;44;02.02.2020 17:19
PKW;9;Richtung B nach A;40;02.02.2020 17:21
LKW;10;Richtung B nach A;40;02.02.2020 17:22
PKW;10;Richtung A nach B;55;02.02.2020 17:24
PKW;9;Richtung A nach B;33;02.02.2020 17:28
LKW;9;Richtung A nach B;43;02.02.2020 17:35
PKW;8;Richtung A nach B;33;02.02.2020 17:59
Leichtes Nutzfahrzeug;9;Richtung B nach A;43;02.02.2020 18:09
PKW;9;Richtung A nach B;40;02.02.2020 18:11
Zweirad;7;Richtung A nach B;36;02.02.2020 18:16
PKW;9;Richtung B nach A;41;02.02.2020 18:17
PKW;9;Richtung B nach A;51;02.02.2020 18:18
PKW;10;Richtung B nach A;45;02.02.2020 18:18
LKW;8;Richtung B nach A;38;02.02.2020 18:24
Leichtes Nutzfahrzeug;9;Richtung B nach A;64;02.02.2020 18:25
PKW;9;Richtung B nach A;50;02.02.2020 18:26
LKW;9;Richtung A nach B;40;02.02.2020 18:39
PKW;10;Richtung A nach B;44;02.02.2020 18:44
PKW;8;Richtung B nach A;44;02.02.2020 18:58
Zweirad;7;Richtung A nach B;34;02.02.2020 19:22
LKW;8;Richtung B nach A;43;02.02.2020 19:22
LKW;9;Richtung A nach B;38;02.02.2020 19:37
Leichtes Nutzfahrzeug;4;Richtung B nach A;43;02.02.2020 19:40
PKW;10;Richtung B nach A;53;02.02.2020 19:46
PKW;8;Richtung B nach A;38;02.02.2020 19:57
LKW;9;Richtung B nach A;29;02.02.2020 20:04
PKW;9;Richtung A nach B;49;02.02.2020 20:08
PKW;9;Richtung B nach A;48;02.02.2020 20:10
LKW;8;Richtung B nach A;48;02.02.2020 20:22
PKW;8;Richtung B nach A;41;02.02.2020 20:31
Leichtes Nutzfahrzeug;7;Richtung A nach B;41;02.02.2020 20:36
Leichtes Nutzfahrzeug;9;Richtung A nach B;40;02.02.2020 20:40
Leichtes Nutzfahrzeug;9;Richtung B nach A;41;02.02.2020 20:48
LKW;10;Richtung B nach A;47;02.02.2020 21:21
