Classification; Confidence; Direction; Speed in km/h; Time
PKW;9;Richtung A nach B;38;01.08.2020 00:04
LKW mit Anhänger;7;Richtung B nach A;43;01.08.2020 00:06
PKW;9;Richtung A nach B;41;01.08.2020 00:39
LKW;8;Richtung A nach B;47;01.08.2020 01:04
PKW;9;Richtung B nach A;41;01.08.2020 01:09
PKW;9;Richtung A nach B;36;01.08.2020 01:19
PKW;9;Richtung B nach A;35;01.08.2020 01:23
PKW;9;Richtung A nach B;49;01.08.2020 03:41
PKW;10;Richtung A nach B;44;01.08.2020 04:56
PKW;9;Richtung A nach B;42;01.08.2020 05:08
PKW;9;Richtung A nach B;36;01.08.2020 05:17
PKW;9;Richtung B nach A;32;01.08.2020 05:18
PKW;9;Richtung A nach B;32;01.08.2020 05:27
Zweirad;9;Richtung B nach A;30;01.08.2020 05:38
Zweirad;10;Richtung B nach A;37;01.08.2020 05:52
Zweirad;8;Richtung B nach A;44;01.08.2020 05:54
PKW;10;Richtung A nach B;40;01.08.2020 06:01
PKW;9;Richtung A nach B;34;01.08.2020 06:02
PKW;9;Richtung A nach B;43;01.08.2020 06:06
Zweirad;9;Richtung A nach B;35;01.08.2020 06:06
Zweirad;9;Richtung A nach B;41;01.08.2020 06:10
PKW;9;Richtung B nach A;36;01.08.2020 06:12
PKW;9;Richtung A nach B;45;01.08.2020 06:15
PKW;8;Richtung B nach A;42;01.08.2020 06:19
LKW mit Anhänger;9;Richtung B nach A;25;01.08.2020 06:24
PKW;8;Richtung B nach A;42;01.08.2020 06:35
PKW;10;Richtung A nach B;44;01.08.2020 06:38
PKW;10;Richtung A nach B;37;01.08.2020 06:57
Zweirad;9;Richtung B nach A;29;01.08.2020 07:19
Zweirad;9;Richtung A nach B;36;01.08.2020 07:21
PKW;9;Richtung A nach B;42;01.08.2020 07:23
PKW;9;Richtung A nach B;40;01.08.2020 07:29
PKW;9;Richtung A nach B;40;01.08.2020 07:31
Zweirad;9;Richtung A nach B;43;01.08.2020 07:33
Zweirad;9;Richtung A nach B;30;01.08.2020 07:34
PKW;9;Richtung B nach A;45;01.08.2020 07:39
PKW;8;Richtung A nach B;33;01.08.2020 07:49
PKW;9;Richtung A nach B;39;01.08.2020 08:04
Zweirad;9;Richtung B nach A;29;01.08.2020 08:13
PKW;8;Richtung A nach B;42;01.08.2020 08:13
Leichtes Nutzfahrzeug;9;Richtung A nach B;33;01.08.2020 08:16
LKW;8;Richtung B nach A;40;01.08.2020 08:22
Leichtes Nutzfahrzeug;8;Richtung A nach B;43;01.08.2020 08:36
Zweirad;9;Richtung B nach A;30;01.08.2020 08:44
PKW;8;Richtung B nach A;43;01.08.2020 08:48
PKW;9;Richtung B nach A;38;01.08.2020 09:05
LKW;10;Richtung B nach A;44;01.08.2020 09:24
PKW;9;Richtung A nach B;40;01.08.2020 09:25
PKW;8;Richtung B nach A;41;01.08.2020 09:31
PKW;9;Richtung A nach B;47;01.08.2020 09:36
LKW;9;Richtung A nach B;43;01.08.2020 09:37
PKW;9;Richtung B nach A;50;01.08.2020 09:48
Zweirad;9;Richtung B nach A;26;01.08.2020 09:54
PKW;9;Richtung A nach B;49;01.08.2020 09:55
PKW;8;Richtung A nach B;45;01.08.2020 09:58
PKW;9;Richtung A nach B;40;01.08.2020 10:04
Leichtes Nutzfahrzeug;9;Richtung B nach A;37;01.08.2020 10:21
Zweirad;9;Richtung A nach B;47;01.08.2020 10:21
LKW;8;Richtung A nach B;33;01.08.2020 10:22
PKW;9;Richtung B nach A;36;01.08.2020 10:25
Zweirad;9;Richtung A nach B;38;01.08.2020 10:30
LKW;9;Richtung A nach B;41;01.08.2020 10:33
PKW;9;Richtung A nach B;40;01.08.2020 10:51
PKW;9;Richtung A nach B;52;01.08.2020 10:57
PKW;9;Richtung B nach A;28;01.08.2020 10:59
PKW;8;Richtung B nach A;49;01.08.2020 11:00
Zweirad;9;Richtung B nach A;44;01.08.2020 11:01
PKW;9;Richtung A nach B;32;01.08.2020 11:03
PKW;9;Richtung A nach B;36;01.08.2020 11:15
PKW;10;Richtung B nach A;41;01.08.2020 11:18
PKW;10;Richtung A nach B;39;01.08.2020 11:19
PKW;8;Richtung B nach A;46;01.08.2020 11:24
PKW;9;Richtung B nach A;38;01.08.2020 11:26
PKW;9;Richtung A nach B;43;01.08.2020 11:29
Zweirad;10;Richtung B nach A;23;01.08.2020 11:30
LKW;8;Richtung A nach B;43;01.08.2020 11:33
PKW;9;Richtung B nach A;37;01.08.2020 11:36
PKW;10;Richtung B nach A;35;01.08.2020 11:37
PKW;9;Richtung A nach B;48;01.08.2020 11:44
PKW;9;Richtung A nach B;38;01.08.2020 11:46
PKW;9;Richtung B nach A;36;01.08.2020 11:49
PKW;9;Richtung B nach A;40;01.08.2020 11:50
PKW;9;Richtung B nach A;43;01.08.2020 11:56
PKW;9;Richtung B nach A;48;01.08.2020 11:56
PKW;9;Richtung A nach B;44;01.08.2020 11:59
PKW;9;Richtung B nach A;54;01.08.2020 12:00
PKW;9;Richtung A nach B;32;01.08.2020 12:00
PKW;10;Richtung B nach A;29;01.08.2020 12:02
PKW;8;Richtung B nach A;39;01.08.2020 12:07
PKW;10;Richtung B nach A;33;01.08.2020 12:13
Leichtes Nutzfahrzeug;10;Richtung B nach A;49;01.08.2020 12:18
Zweirad;9;Richtung A nach B;36;01.08.2020 12:22
PKW;9;Richtung B nach A;35;01.08.2020 12:24
LKW;9;Richtung B nach A;38;01.08.2020 12:24
PKW;9;Richtung B nach A;42;01.08.2020 12:29
PKW;9;Richtung B nach A;35;01.08.2020 12:35
LKW;6;Richtung A nach B;52;01.08.2020 12:36
PKW;9;Richtung A nach B;46;01.08.2020 12:38
Zweirad;9;Richtung A nach B;43;01.08.2020 12:39
PKW;9;Richtung A nach B;40;01.08.2020 12:40
PKW;9;Richtung B nach A;38;01.08.2020 12:42
Leichtes Nutzfahrzeug;9;Richtung B nach A;31;01.08.2020 12:45
PKW;9;Richtung B nach A;36;01.08.2020 12:46
PKW;9;Richtung A nach B;40;01.08.2020 12:47
Zweirad;9;Richtung B nach A;29;01.08.2020 12:48
PKW;10;Richtung A nach B;38;01.08.2020 12:49
Zweirad;9;Richtung B nach A;24;01.08.2020 12:52
Zweirad;9;Richtung B nach A;29;01.08.2020 12:55
Leichtes Nutzfahrzeug;9;Richtung A nach B;45;01.08.2020 12:59
PKW;9;Richtung A nach B;51;01.08.2020 13:03
PKW;9;Richtung B nach A;33;01.08.2020 13:05
PKW;9;Richtung B nach A;40;01.08.2020 13:06
LKW;8;Richtung B nach A;40;01.08.2020 13:21
Leichtes Nutzfahrzeug;8;Richtung A nach B;43;01.08.2020 13:36
PKW;9;Richtung B nach A;40;01.08.2020 13:45
PKW;9;Richtung B nach A;49;01.08.2020 13:46
PKW;10;Richtung B nach A;42;01.08.2020 13:56
PKW;9;Richtung B nach A;38;01.08.2020 14:12
Zweirad;8;Richtung A nach B;43;01.08.2020 14:16
PKW;8;Richtung B nach A;55;01.08.2020 14:18
Zweirad;10;Richtung A nach B;36;01.08.2020 14:20
PKW;9;Richtung A nach B;40;01.08.2020 14:21
LKW;8;Richtung B nach A;39;01.08.2020 14:22
PKW;9;Richtung A nach B;51;01.08.2020 14:27
Leichtes Nutzfahrzeug;8;Richtung A nach B;36;01.08.2020 14:32
Zweirad;10;Richtung B nach A;22;01.08.2020 14:38
Zweirad;9;Richtung B nach A;32;01.08.2020 14:40
Zweirad;9;Richtung B nach A;33;01.08.2020 14:42
PKW;10;Richtung B nach A;36;01.08.2020 14:52
Zweirad;9;Richtung A nach B;36;01.08.2020 14:52
PKW;8;Richtung A nach B;45;01.08.2020 14:53
Zweirad;10;Richtung A nach B;36;01.08.2020 14:56
Leichtes Nutzfahrzeug;9;Richtung B nach A;49;01.08.2020 14:59
PKW;8;Richtung B nach A;51;01.08.2020 15:00
Zweirad;10;Richtung A nach B;28;01.08.2020 15:03
Zweirad;9;Richtung B nach A;29;01.08.2020 15:06
PKW;8;Richtung A nach B;36;01.08.2020 15:08
PKW;9;Richtung B nach A;46;01.08.2020 15:13
LKW;7;Richtung B nach A;43;01.08.2020 15:19
Zweirad;9;Richtung A nach B;32;01.08.2020 15:20
Leichtes Nutzfahrzeug;8;Richtung A nach B;42;01.08.2020 15:33
PKW;10;Richtung B nach A;43;01.08.2020 15:34
PKW;9;Richtung A nach B;37;01.08.2020 15:42
Zweirad;9;Richtung B nach A;29;01.08.2020 15:43
Zweirad;9;Richtung A nach B;26;01.08.2020 15:47
Zweirad;9;Richtung A nach B;46;01.08.2020 15:47
PKW;9;Richtung A nach B;52;01.08.2020 15:50
LKW;4;Richtung A nach B;46;01.08.2020 15:58
Zweirad;9;Richtung B nach A;27;01.08.2020 16:06
Leichtes Nutzfahrzeug;8;Richtung B nach A;34;01.08.2020 16:06
PKW;7;Richtung A nach B;55;01.08.2020 16:07
PKW;7;Richtung A nach B;40;01.08.2020 16:09
