 Parking Lot Id; Parking Space Id; Occupied Status; Reserved Status; Time
28;482;false;false;31.07.2020 14:55
28;482;false;false;24.07.2020 08:13
28;482;false;false;23.07.2020 11:56
28;482;false;false;23.07.2020 07:06
28;482;false;false;17.07.2020 15:05
28;482;false;false;16.07.2020 18:34
28;482;false;false;09.07.2020 17:58
28;482;false;false;02.07.2020 07:34
28;482;true;false;31.07.2020 14:54
28;482;true;false;24.07.2020 08:09
28;482;true;false;23.07.2020 11:55
28;482;true;false;23.07.2020 07:05
28;482;true;false;17.07.2020 08:38
28;482;true;false;16.07.2020 07:29
28;482;true;false;09.07.2020 07:41
28;482;true;false;02.07.2020 07:33
28;484;false;false;29.07.2020 15:50
28;484;false;false;28.07.2020 12:21
28;484;false;false;28.07.2020 08:09
28;484;false;false;28.07.2020 07:50
28;484;false;false;27.07.2020 17:40
28;484;false;false;26.07.2020 15:37
28;484;false;false;26.07.2020 11:16
28;484;false;false;24.07.2020 15:36
28;484;false;false;15.07.2020 11:40
28;484;false;false;13.07.2020 15:33
28;484;false;false;09.07.2020 20:46
28;484;false;false;09.07.2020 13:01
28;484;false;false;08.07.2020 18:21
28;484;false;false;03.07.2020 13:31
28;484;false;false;03.07.2020 08:35
28;484;false;false;02.07.2020 14:19
28;484;true;false;31.07.2020 11:51
28;484;true;false;29.07.2020 08:02
28;484;true;false;28.07.2020 12:06
28;484;true;false;28.07.2020 08:04
28;484;true;false;28.07.2020 05:29
28;484;true;false;27.07.2020 17:39
28;484;true;false;26.07.2020 15:18
28;484;true;false;26.07.2020 09:52
28;484;true;false;24.07.2020 15:03
28;484;true;false;15.07.2020 11:06
28;484;true;false;13.07.2020 13:39
28;484;true;false;09.07.2020 18:50
28;484;true;false;09.07.2020 12:55
28;484;true;false;08.07.2020 17:07
28;484;true;false;03.07.2020 09:59
28;484;true;false;03.07.2020 08:33
28;484;true;false;02.07.2020 13:15
28;485;false;false;29.07.2020 20:13
28;485;false;false;28.07.2020 12:13
28;485;false;false;28.07.2020 05:29
28;485;false;false;26.07.2020 15:37
28;485;false;false;26.07.2020 15:30
28;485;false;false;23.07.2020 11:34
28;485;false;false;23.07.2020 11:26
